wkt_geom,left,top,right,bottom,id,Area,Region,Region_Let,Number,Client_Nam,Columna1,Name,Crop,AUTO
MultiPoint ((11700134.77801547385752201 1485240.35880533838644624)),11700084.78,1485290.359,11700184.78,1485190.359,366,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700134.77801547385752201 1485140.35880533838644624)),11700084.78,1485190.359,11700184.78,1485090.359,367,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700134.77801547385752201 1485440.35880533838644624)),11700084.78,1485490.359,11700184.78,1485390.359,364,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700134.77801547385752201 1485340.35880533838644624)),11700084.78,1485390.359,11700184.78,1485290.359,365,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700134.77801547385752201 1484840.35880533838644624)),11700084.78,1484890.359,11700184.78,1484790.359,370,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700134.77801547385752201 1484740.35880533838644624)),11700084.78,1484790.359,11700184.78,1484690.359,371,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700134.77801547385752201 1485040.35880533838644624)),11700084.78,1485090.359,11700184.78,1484990.359,368,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700134.77801547385752201 1484940.35880533838644624)),11700084.78,1484990.359,11700184.78,1484890.359,369,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700134.77801547385752201 1484440.35880533838644624)),11700084.78,1484490.359,11700184.78,1484390.359,374,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700134.77801547385752201 1484340.35880533838644624)),11700084.78,1484390.359,11700184.78,1484290.359,375,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700134.77801547385752201 1484640.35880533838644624)),11700084.78,1484690.359,11700184.78,1484590.359,372,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700134.77801547385752201 1484540.35880533838644624)),11700084.78,1484590.359,11700184.78,1484490.359,373,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700234.77801547385752201 1485540.35880533838644624)),11700184.78,1485590.359,11700284.78,1485490.359,383,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700234.77801547385752201 1485440.35880533838644624)),11700184.78,1485490.359,11700284.78,1485390.359,384,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700234.77801547385752201 1485740.35880533838644624)),11700184.78,1485790.359,11700284.78,1485690.359,381,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700234.77801547385752201 1485640.35880533838644624)),11700184.78,1485690.359,11700284.78,1485590.359,382,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700034.77801547385752201 1485340.35880533838644624)),11699984.78,1485390.359,11700084.78,1485290.359,345,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700034.77801547385752201 1485240.35880533838644624)),11699984.78,1485290.359,11700084.78,1485190.359,346,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700034.77801547385752201 1485540.35880533838644624)),11699984.78,1485590.359,11700084.78,1485490.359,343,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700034.77801547385752201 1485440.35880533838644624)),11699984.78,1485490.359,11700084.78,1485390.359,344,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700034.77801547385752201 1484940.35880533838644624)),11699984.78,1484990.359,11700084.78,1484890.359,349,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700034.77801547385752201 1484840.35880533838644624)),11699984.78,1484890.359,11700084.78,1484790.359,350,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700034.77801547385752201 1485140.35880533838644624)),11699984.78,1485190.359,11700084.78,1485090.359,347,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700034.77801547385752201 1485040.35880533838644624)),11699984.78,1485090.359,11700084.78,1484990.359,348,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700034.77801547385752201 1484540.35880533838644624)),11699984.78,1484590.359,11700084.78,1484490.359,353,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700034.77801547385752201 1484440.35880533838644624)),11699984.78,1484490.359,11700084.78,1484390.359,354,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700034.77801547385752201 1484740.35880533838644624)),11699984.78,1484790.359,11700084.78,1484690.359,351,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700034.77801547385752201 1484640.35880533838644624)),11699984.78,1484690.359,11700084.78,1484590.359,352,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700134.77801547385752201 1485640.35880533838644624)),11700084.78,1485690.359,11700184.78,1485590.359,362,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700134.77801547385752201 1485540.35880533838644624)),11700084.78,1485590.359,11700184.78,1485490.359,363,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700034.77801547385752201 1484340.35880533838644624)),11699984.78,1484390.359,11700084.78,1484290.359,355,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700134.77801547385752201 1485740.35880533838644624)),11700084.78,1485790.359,11700184.78,1485690.359,361,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699934.77801547385752201 1485440.35880533838644624)),11699884.78,1485490.359,11699984.78,1485390.359,324,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699934.77801547385752201 1485340.35880533838644624)),11699884.78,1485390.359,11699984.78,1485290.359,325,171.3918142,Avocado,A,3,,c,A3-c,,0
