wkt_geom,id,Area,Region,Region_Let,Number,Client_Nam,Columna1,Name,xcoord,ycoord
Point (11699505.91537001170217991 1485240.35880533838644624),26,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1485240.359
Point (11699505.91537001170217991 1485140.35880533838644624),27,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1485140.359
Point (11699505.91537001170217991 1485040.35880533838644624),28,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1485040.359
Point (11699505.91537001170217991 1484940.35880533838644624),29,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484940.359
Point (11699405.91537001170217991 1484740.35880533838644624),11,171.3918142,Avocado,A,3,,c,A3-c,11699405.92,1484740.359
Point (11699405.91537001170217991 1484640.35880533838644624),12,171.3918142,Avocado,A,3,,c,A3-c,11699405.92,1484640.359
Point (11699505.91537001170217991 1485440.35880533838644624),24,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1485440.359
Point (11699505.91537001170217991 1485340.35880533838644624),25,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1485340.359
Point (11699405.91537001170217991 1485140.35880533838644624),7,171.3918142,Avocado,A,3,,c,A3-c,11699405.92,1485140.359
Point (11699405.91537001170217991 1485040.35880533838644624),8,171.3918142,Avocado,A,3,,c,A3-c,11699405.92,1485040.359
Point (11699405.91537001170217991 1484940.35880533838644624),9,171.3918142,Avocado,A,3,,c,A3-c,11699405.92,1484940.359
Point (11699405.91537001170217991 1484840.35880533838644624),10,171.3918142,Avocado,A,3,,c,A3-c,11699405.92,1484840.359
Point (11699405.91537001170217991 1485440.35880533838644624),4,171.3918142,Avocado,A,3,,c,A3-c,11699405.92,1485440.359
Point (11699405.91537001170217991 1485340.35880533838644624),5,171.3918142,Avocado,A,3,,c,A3-c,11699405.92,1485340.359
Point (11699405.91537001170217991 1485240.35880533838644624),6,171.3918142,Avocado,A,3,,c,A3-c,11699405.92,1485240.359
Point (11699605.91537001170217991 1485340.35880533838644624),45,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1485340.359
Point (11699605.91537001170217991 1485240.35880533838644624),46,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1485240.359
Point (11699605.91537001170217991 1485140.35880533838644624),47,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1485140.359
Point (11699605.91537001170217991 1485040.35880533838644624),48,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1485040.359
Point (11699505.91537001170217991 1484040.35880533838644624),38,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484040.359
Point (11699505.91537001170217991 1483940.35880533838644624),39,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1483940.359
Point (11699605.91537001170217991 1485540.35880533838644624),43,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1485540.359
