line,x,y
0,11699535.0,1484840.375
1,11700435.0,1484640.375
2,11699635.0,1484640.375
3,11698935.0,1485040.375
4,11698335.0,1485040.375
5,11699035.0,1484140.375
6,11699635.0,1485240.375
7,11699535.0,1485440.375
8,11699835.0,1485640.375
9,11699735.0,1484140.375
10,11698935.0,1484740.375
11,11699335.0,1484840.375
12,11698835.0,1485140.375
13,11700735.0,1484740.375
14,11700035.0,1485340.375
15,11699635.0,1484940.375
16,11698835.0,1484340.375
17,11699935.0,1485140.375
18,11698735.0,1484840.375
19,11699235.0,1484440.375
20,11700235.0,1484340.375
21,11700035.0,1484740.375
22,11699135.0,1484240.375
23,11698535.0,1484740.375
24,11700535.0,1484740.375
25,11700035.0,1485040.375
26,11700735.0,1484940.375
27,11700335.0,1484540.375
28,11699035.0,1485140.375
29,11698735.0,1484540.375
30,11699235.0,1485040.375
31,11699535.0,1483940.375
32,11698735.0,1484240.375
33,11698835.0,1484940.375
34,11699835.0,1485240.375
35,11700335.0,1485440.375
36,11699435.0,1485140.375
37,11700235.0,1485540.375
38,11699035.0,1484840.375
39,11699835.0,1484840.375
40,11700335.0,1484740.375
41,11698935.0,1484040.375
42,11700235.0,1485140.375
43,11698635.0,1484940.375
44,11700335.0,1484940.375
45,11699735.0,1485140.375
46,11698935.0,1484240.375
47,11698535.0,1485140.375
48,11698835.0,1484140.375
49,11699135.0,1485340.375
50,11700335.0,1485640.375
51,11699435.0,1484040.375
52,11700535.0,1484540.375
53,11700035.0,1485640.375
54,11699835.0,1484440.375
55,11700935.0,1484740.375
56,11700035.0,1484340.375
57,11699135.0,1484740.375
58,11698435.0,1484640.375
59,11699335.0,1484340.375
60,11698635.0,1484140.375
